t,commutator_norm
0.000000000000000000e+00,2.117786576999822548e-02
1.000000000000000056e-01,2.096626353569612175e-02
2.000000000000000111e-01,2.054517332667055510e-02
3.000000000000000444e-01,1.991880253709633203e-02
4.000000000000000222e-01,1.909340965685224142e-02
5.000000000000000000e-01,1.807724173875880844e-02
6.000000000000000888e-01,1.688045199675343791e-02
7.000000000000000666e-01,1.551499835833207268e-02
8.000000000000000444e-01,1.399452398489083385e-02
9.000000000000000222e-01,1.233422095376721442e-02
1.000000000000000000e+00,1.055067846402475348e-02
1.100000000000000089e+00,8.661717082660592981e-03
1.200000000000000178e+00,6.686210687389376045e-03
1.300000000000000044e+00,4.643897885097243890e-03
1.400000000000000133e+00,2.555184790205616927e-03
1.500000000000000000e+00,4.409411335221249755e-04
1.600000000000000089e+00,1.677708261211671194e-03
1.700000000000000178e+00,3.779594549576185611e-03
1.800000000000000044e+00,5.843716378569056846e-03
1.900000000000000133e+00,7.849449725183196142e-03
2.000000000000000000e+00,9.776753964826391530e-03
2.100000000000000089e+00,1.160637211061822660e-02
2.200000000000000178e+00,1.332002322283729404e-02
2.300000000000000266e+00,1.490058506602797046e-02
2.400000000000000355e+00,1.633226518871755406e-02
2.500000000000000000e+00,1.760075871637048484e-02
2.600000000000000089e+00,1.869339128096690963e-02
2.700000000000000178e+00,1.959924565909743413e-02
2.800000000000000266e+00,2.030927085325143905e-02
2.900000000000000355e+00,2.081637252639215521e-02
3.000000000000000000e+00,2.111548388622714462e-02
3.100000000000000089e+00,2.120361631092199800e-02
3.200000000000000178e+00,2.107988921042164981e-02
3.300000000000000266e+00,2.074553882501576491e-02
3.400000000000000355e+00,2.020390587323375731e-02
3.500000000000000000e+00,1.946040217248970819e-02
3.600000000000000089e+00,1.852245656599182944e-02
3.700000000000000178e+00,1.739944069619672740e-02
3.800000000000000266e+00,1.610257536645562371e-02
3.900000000000000355e+00,1.464481842645653543e-02
4.000000000000000000e+00,1.304073530167377572e-02
4.100000000000000533e+00,1.130635346045060809e-02
4.200000000000000178e+00,9.459002272834160854e-03
4.299999999999999822e+00,7.517139861238072984e-03
4.400000000000000355e+00,5.500168672984454346e-03
4.500000000000000000e+00,3.428241617464541577e-03
4.600000000000000533e+00,1.322060704928819646e-03
4.700000000000000178e+00,7.973298011552913548e-04
4.800000000000000711e+00,2.908753651428478467e-03
4.900000000000000355e+00,4.991114196722725403e-03
5.000000000000000000e+00,7.023605178806347805e-03
5.100000000000000533e+00,8.985918619638448915e-03
5.200000000000000178e+00,1.085844773197298940e-02
5.300000000000000711e+00,1.262248282389526882e-02
5.400000000000000355e+00,1.426039823987916913e-02
5.500000000000000000e+00,1.575582847051119201e-02
5.600000000000000533e+00,1.709383167125034034e-02
5.700000000000000178e+00,1.826103895639981031e-02
5.800000000000000711e+00,1.924578797659389634e-02
5.900000000000000355e+00,2.003823944513759281e-02
6.000000000000000000e+00,2.063047544890668147e-02
6.100000000000000533e+00,2.101657856151886369e-02
6.200000000000000178e+00,2.119269096830150162e-02
6.300000000000000711e+00,2.115705301230113786e-02
6.400000000000000355e+00,2.091002077619391261e-02
6.500000000000000000e+00,2.045406252442464462e-02
6.600000000000000533e+00,1.979373404112570733e-02
6.700000000000000178e+00,1.893563311022610982e-02
6.800000000000000711e+00,1.788833359257754885e-02
6.900000000000000355e+00,1.666229975876868871e-02
7.000000000000000000e+00,1.526978173359433595e-02
7.100000000000000533e+00,1.372469309685652936e-02
7.200000000000000178e+00,1.204247186347546898e-02
7.300000000000000711e+00,1.023992623194643938e-02
7.400000000000000355e+00,8.335066642377313151e-03
7.500000000000000000e+00,6.346925822124254747e-03
7.600000000000000533e+00,4.295368617071350544e-03
7.700000000000000178e+00,2.200893508656846017e-03
7.800000000000000711e+00,8.442779982231712443e-05
