t,q,p,E
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000056e-01,9.950207737415631692e-01,-9.933590958026944362e-02,4.999669815546992635e-01
2.000000000000000111e-01,9.801987172438728635e-01,-1.966958249306639261e-01,4.997393864158440890e-01
3.000000000000000444e-01,9.557791273717183289e-01,-2.911314671935105736e-01,4.991356357548447087e-01
4.000000000000000222e-01,9.221002777413560558e-01,-3.817330658125993592e-01,4.979945278726861657e-01
5.000000000000000000e-01,8.795891305117892189e-01,-4.676380201935708691e-01,4.961811782225239442e-01
6.000000000000000888e-01,8.287562091307105749e-01,-5.480390062036618604e-01,4.935918032467017103e-01
7.000000000000000666e-01,7.701896912922922001e-01,-6.221914525234071291e-01,4.901571820830517567e-01
8.000000000000000444e-01,7.045487886716970127e-01,-6.894203186610141643e-01,4.858446857007049369e-01
9.000000000000000222e-01,6.325564864203427895e-01,-7.491261142188240241e-01,4.806588217585219258e-01
1.000000000000000000e+00,5.549917206092654931e-01,-8.007901073425066629e-01,4.746403029812281682e-01
1.100000000000000089e+00,4.726810775556029576e-01,-8.439786782202447490e-01,4.678637051847586714e-01
1.200000000000000178e+00,3.864901018573740910e-01,-8.783467832354833194e-01,4.604338352269222723e-01
1.300000000000000044e+00,2.973143035590962713e-01,-9.036405040146240353e-01,4.524809777983170855e-01
1.400000000000000133e+00,2.060699569757710181e-01,-9.196986651235106169e-01,4.441552308989817344e-01
1.500000000000000000e+00,1.136847846040104637e-01,-9.264535136502179968e-01,4.356201716026474879e-01
1.600000000000000089e+00,2.108861987816284395e-02,-9.239304632256325478e-01,4.270461153823487677e-01
1.700000000000000178e+00,-7.079585808455796103e-02,-9.122469143443249218e-01,4.186032431263355114e-01
1.800000000000000044e+00,-1.610622264856457764e-01,-8.916101718974630552e-01,4.104548697157685000e-01
1.900000000000000133e+00,-2.488291686382819168e-01,-8.623144896062558962e-01,4.027511170750580627e-01
2.000000000000000000e+00,-3.332489860767465228e-01,-8.247372794424230324e-01,3.956232334116344673e-01
2.100000000000000089e+00,-4.135156917950917888e-01,-7.793345319905075064e-01,3.891787700568183350e-01
2.200000000000000178e+00,-4.888726082031926157e-01,-7.266355011955493159e-01,3.834977893245496983e-01
2.300000000000000266e+00,-5.586193993093675481e-01,-6.672367135891571488e-01,3.786302326230087667e-01
2.400000000000000355e+00,-6.221184727826964966e-01,-6.017953682902792423e-01,3.745945297365537163e-01
2.500000000000000000e+00,-6.788006944371498541e-01,-5.310221995965136443e-01,3.713774796163382685e-01
2.600000000000000089e+00,-7.281703653911035801e-01,-4.556738782062353943e-01,3.689353821566621616e-01
2.700000000000000178e+00,-7.698094195489839642e-01,-3.765450313765298374e-01,3.671963515403476874e-01
2.800000000000000266e+00,-8.033808074618423722e-01,-2.944599652558853586e-01,3.660636964682695282e-01
2.900000000000000355e+00,-8.286310411322467262e-01,-2.102641743707762689e-01,3.654202126758676616e-01
3.000000000000000000e+00,-8.453918827063122698e-01,-1.248157249929981866e-01,3.651332002756254580e-01
3.100000000000000089e+00,-8.535811688175628520e-01,-3.897659928409466512e-02,3.650599935258548312e-01
3.200000000000000178e+00,-8.532027709903320378e-01,4.639591342143911668e-02,3.650537746038953202e-01
3.300000000000000266e+00,-8.443457010881374458e-01,1.304576929590546830e-01,3.649694362991086627e-01
3.400000000000000355e+00,-8.271823792119283869e-01,2.123860494423372158e-01,3.646692612382146925e-01
3.500000000000000000e+00,-8.019660895855743599e-01,2.913876891333786467e-01,3.640281971118339843e-01
3.600000000000000089e+00,-7.690276578332454482e-01,3.667063087462597015e-01,3.629385276933971838e-01
3.700000000000000178e+00,-7.287713903937672599e-01,4.376297464783645008e-01,3.613137672295911873e-01
3.800000000000000266e+00,-6.816703238156353040e-01,5.034966230071895588e-01,3.590916398752785343e-01
3.900000000000000355e+00,-6.282608380371835777e-01,5.637024115359012821e-01,3.562360446912874457e-01
4.000000000000000000e+00,-5.691366933850393606e-01,6.177048823117146092e-01,3.527379486944927089e-01
4.100000000000000533e+00,-5.049425566749041749e-01,6.650288734207788766e-01,3.486151940123495274e-01
4.200000000000000178e+00,-4.363670854154539369e-01,7.052703475336669081e-01,3.439112481721187109e-01
4.299999999999999822e+00,-3.641356434922191632e-01,7.380997010925574031e-01,3.386929678072075345e-01
4.400000000000000355e+00,-2.890027245645332421e-01,7.632643005186721119e-01,3.330474836259906257e-01
4.500000000000000000e+00,-2.117441610707331001e-01,7.805902280319980679e-01,3.270783469232976248e-01
4.600000000000000533e+00,-1.331491986768655322e-01,7.899832274782212505e-01,3.209011044025992243e-01
4.700000000000000178e+00,-5.401251623459583234e-02,7.914288487627159085e-01,3.146384872819351641e-01
4.800000000000000711e+00,2.487372886050275358e-02,7.849917974311529933e-01,3.084154122108090368e-01
4.900000000000000355e+00,1.027277511463289134e-01,7.708145037589525517e-01,3.023539950303711366e-01
5.000000000000000000e+00,1.787858062822298977e-01,7.491149333554049106e-01,2.965687739520298516e-01
5.100000000000000533e+00,2.523096045831483836e-01,7.201836685943082683e-01,2.911623265374305713e-01
5.200000000000000178e+00,3.225933977597161273e-01,6.843802971140523494e-01,2.862214456780384775e-01
5.300000000000000711e+00,3.889706715593048703e-01,6.421291502405074292e-01,2.818140144609463937e-01
5.400000000000000355e+00,4.508203817813387637e-01,5.939144401356741820e-01,2.779866894155716972e-01
5.500000000000000000e+00,5.075726762137326986e-01,5.402748499756581113e-01,2.747634675774953128e-01
5.600000000000000533e+00,5.587140506663391681e-01,4.817976364123377486e-01,2.721451764322518896e-01
5.700000000000000178e+00,6.037918934394755910e-01,4.191123079057033074e-01,2.701098886106360619e-01
5.800000000000000711e+00,6.424183793055705527e-01,3.528839457446588113e-01,2.686142266169576076e-01
5.900000000000000355e+00,6.742736805675143552e-01,2.838062379267802249e-01,2.675954884961072588e-01
6.000000000000000000e+00,6.991084701399067347e-01,2.125942980117357106e-01,2.669744942842317559e-01
6.100000000000000533e+00,7.167456988519053107e-01,1.399773423268657058e-01,2.666590265937993087e-01
6.200000000000000178e+00,7.270816364680354749e-01,6.669129987412235339e-02,2.665477177839682965e-01
6.300000000000000711e+00,7.300861734260977176e-01,-6.528570985379553160e-03,2.665342214335365556e-01
6.400000000000000355e+00,7.258023876436320299e-01,-7.895498570749399925e-02,2.665114978386338707e-01
6.500000000000000000e+00,7.143453880149419621e-01,-1.498757847904346463e-01,2.663760421223833608e-01
6.600000000000000533e+00,6.959004532962207445e-01,-2.186008634761571201e-01,2.660318892052034867e-01
6.700000000000000178e+00,6.707204918774536395e-01,-2.844688132599403341e-01,2.653942419709260925e-01
6.800000000000000711e+00,6.391228544775074960e-01,-3.468532119805716185e-01,2.643925868883582608e-01
6.900000000000000355e+00,6.014855378678576336e-01,-4.051685035180317418e-01,2.629731842536136566e-01
7.000000000000000000e+00,5.582428234616325646e-01,-4.588754126775146380e-01,2.611008471531873765e-01
7.100000000000000533e+00,5.098803996335163902e-01,-5.074858461576495783e-01,2.587599529903900075e-01
7.200000000000000178e+00,4.569300216225719025e-01,-5.505672357714435083e-01,2.559546628825061232e-01
7.300000000000000711e+00,3.999637665248777507e-01,-5.877462865239034828e-01,2.527083559277026881e-01
7.400000000000000355e+00,3.395879444612278086e-01,-6.187120981294884636e-01,2.490623161975978606e-01
7.500000000000000000e+00,2.764367302122909820e-01,-6.432186350455634249e-01,2.450737391401703325e-01
7.600000000000000533e+00,2.111655810168753811e-01,-6.610865271469454907e-01,2.408131494907018444e-01
7.700000000000000178e+00,1.444445083304967958e-01,-6.722041896651911319e-01,2.363613442951376098e-01
7.800000000000000711e+00,7.695127184004087184e-02,-6.765282580712411731e-01,2.318059911033538700e-01
7.900000000000000355e+00,9.364564176418135877e-03,-6.740833403987575023e-01,2.272380224326807086e-01
8.000000000000000000e+00,-5.764274585891977776e-02,-6.649610962549848958e-01,2.227479728413936655e-01
8.099999999999999645e+00,-1.234102449184362182e-01,-6.493186583789957167e-01,2.184224043349636823e-01
8.200000000000001066e+00,-1.872964169233703735e-01,-6.273764189809030167e-01,2.143405594428172689e-01
8.300000000000000711e+00,-2.486848329139841329e-01,-5.994152091824536122e-01,2.105713695603504132e-01
8.400000000000000355e+00,-3.069900298865876898e-01,-5.657729056517798449e-01,2.071709296097128949e-01
8.500000000000000000e+00,-3.616630232670695611e-01,-5.268405038714708555e-01,2.041805294591110820e-01
8.599999999999999645e+00,-4.121964018914915373e-01,-4.830577023668713998e-01,2.016253087741264605e-01
