t,lie,linear,node
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.264018873640152450e-03,4.728314945243743584e-04,3.697985245285875799e-03
2.000000000000000111e-01,6.499893933617646377e-03,9.229559952362924010e-04,7.618801860532185138e-03
3.000000000000000444e-01,9.672101222057111203e-03,1.353217066617318307e-03,1.164181960881669961e-02
4.000000000000000222e-01,1.274647033002227620e-02,1.767466009816762293e-03,1.563839364822142489e-02
5.000000000000000000e-01,1.569150509704847832e-02,2.170381652408368521e-03,1.948623837304727310e-02
6.000000000000000888e-01,1.847964083913079467e-02,2.567267819096652730e-03,2.308205068749089039e-02
7.000000000000000666e-01,2.108838120897386925e-02,2.963833704817345899e-03,2.634974401106517788e-02
8.000000000000000444e-01,2.350125665789827220e-02,3.365954073918184068e-03,2.924271942457267251e-02
9.000000000000000222e-01,2.570854605532976039e-02,3.779400932654710006e-03,3.174013080227203187e-02
1.000000000000000000e+00,2.770770369707750008e-02,4.209539799480105371e-03,3.383872314748637838e-02
1.100000000000000089e+00,2.950343685267571917e-02,4.660992666436522373e-03,3.554307696546181450e-02
1.200000000000000178e+00,3.110738619716207909e-02,5.137284175022470249e-03,3.685755358865798470e-02
1.300000000000000044e+00,3.253737591094846282e-02,5.640501819171178828e-03,3.778272013410959723e-02
1.400000000000000133e+00,3.381622550275694555e-02,6.171010037266085393e-03,3.831772057148191690e-02
1.500000000000000000e+00,3.497015408599746245e-02,6.727257479060455743e-03,3.846841434585294983e-02
1.600000000000000089e+00,3.602686040441004794e-02,7.305709092744421158e-03,3.825956861564843575e-02
1.700000000000000178e+00,3.701342195933652462e-02,7.900919942892192446e-03,3.774813016211171074e-02
1.800000000000000044e+00,3.795421246256838743e-02,8.505753821907338641e-03,3.703348996226866335e-02
1.900000000000000133e+00,3.886906959169964676e-02,9.111736910186867336e-03,3.625959657548397108e-02
2.000000000000000000e+00,3.977193739604645284e-02,9.709528064394432750e-03,3.560336279240688961e-02
2.100000000000000089e+00,4.067015100092723212e-02,1.028948121121732277e-02,3.524608804950749019e-02
2.200000000000000178e+00,4.156443356611844858e-02,1.084227162248896544e-02,3.533234170000586205e-02
2.300000000000000266e+00,4.244956031945217034e-02,1.135955450711580855e-02,3.593240832282482838e-02
2.400000000000000355e+00,4.331554254600294973e-02,1.183462033268990569e-02,3.702913386645823729e-02
2.500000000000000000e+00,4.414912030758869066e-02,1.226300673835600298e-02,3.853729774740727310e-02
2.600000000000000089e+00,4.493533588886871460e-02,1.264301939873747373e-02,4.034237679847022667e-02
2.700000000000000178e+00,4.565898486021985336e-02,1.297610731467982448e-02,4.233654078896850054e-02
2.800000000000000266e+00,4.630579281868071884e-02,1.326702910392410853e-02,4.443772041303191422e-02
2.900000000000000355e+00,4.686322718093011847e-02,1.352374336387899244e-02,4.659049022202653434e-02
3.000000000000000000e+00,4.732091246401155110e-02,1.375696095494138155e-02,4.875567704204847308e-02
3.100000000000000089e+00,4.767066787667802175e-02,1.397932080718462117e-02,5.089787181237357544e-02
3.200000000000000178e+00,4.790622552254731464e-02,1.420420064529636338e-02,5.297828949672460375e-02
3.300000000000000266e+00,4.802271608471014863e-02,1.444425142390932601e-02,5.495647448843808680e-02
3.400000000000000355e+00,4.801602690280825508e-02,1.470983632611628893e-02,5.679992121768937668e-02
3.500000000000000000e+00,4.788214473727928772e-02,1.500762897046861895e-02,5.849737785616527380e-02
3.600000000000000089e+00,4.761659191214220183e-02,1.533964189097264050e-02,6.007023078081165368e-02
3.700000000000000178e+00,4.721404989950633846e-02,1.570289100894861969e-02,6.157680954401149181e-02
3.800000000000000266e+00,4.666823995336977920e-02,1.608976810348703573e-02,6.310628015063628193e-02
3.900000000000000355e+00,4.597209893259258245e-02,1.648904175037592401e-02,6.476178943578182745e-02
4.000000000000000000e+00,4.511825425996064676e-02,1.688729463544278581e-02,6.663639778050864382e-02
4.100000000000000533e+00,4.409977006957833262e-02,1.727056201013895190e-02,6.878892864172672650e-02
4.200000000000000178e+00,4.291111160434239041e-02,1.762595575155114294e-02,7.122802604113234737e-02
4.299999999999999822e+00,4.154926009405062598e-02,1.794311058318981064e-02,7.390990769567834517e-02
4.400000000000000355e+00,4.001490694846503160e-02,1.821534331572147863e-02,7.674963763271300254e-02
4.500000000000000000e+00,3.831366344611251279e-02,1.844045427708403129e-02,7.964061207172948298e-02
4.600000000000000533e+00,3.645723777977823155e-02,1.862111918533028432e-02,8.247511824726468099e-02
4.700000000000000178e+00,3.446455137635538735e-02,1.876482631904666243e-02,8.516035962152995742e-02
4.800000000000000711e+00,3.236278452455813859e-02,1.888331992398839185e-02,8.762742978115202475e-02
4.900000000000000355e+00,3.018834622383373412e-02,1.899153156791085623e-02,8.983357353253661193e-02
5.000000000000000000e+00,2.798773223237046789e-02,1.910602946021958820e-02,9.175983548252683586e-02
5.100000000000000533e+00,2.581812495645309860e-02,1.924309962160923593e-02,9.340674008543982387e-02
5.200000000000000178e+00,2.374732419983609580e-02,1.941667911267584007e-02,9.479019518194936600e-02
5.300000000000000711e+00,2.185209469084907832e-02,1.963645712456889292e-02,9.593873775161905482e-02
5.400000000000000355e+00,2.021331899079267108e-02,1.990649424816889543e-02,9.689201753799102368e-02
5.500000000000000000e+00,1.890600213480663969e-02,2.022464239010095949e-02,9.769951722399790317e-02
5.600000000000000533e+00,1.798361557455272972e-02,2.058288523469591069e-02,9.841826010558035742e-02
5.700000000000000178e+00,1.746076655115680679e-02,2.096851558926548023e-02,9.910871508589451373e-02
5.800000000000000711e+00,1.730325546133841541e-02,2.136590142020008271e-02,9.982903100490599091e-02
5.900000000000000355e+00,1.743320601381355417e-02,2.175851819739159712e-02,1.006286695709000673e-01
6.000000000000000000e+00,1.774723167013337460e-02,2.213094289387238303e-02,1.015429842482773876e-01
6.100000000000000533e+00,1.813745529208966173e-02,2.247057791548130387e-02,1.025900447425258516e-01
6.200000000000000178e+00,1.850672842327589357e-02,2.276895781392831997e-02,1.037701501491895273e-01
6.300000000000000711e+00,1.877600310303712342e-02,2.302255843782631886e-02,1.050674845901145987e-01
6.400000000000000355e+00,1.888608507435703479e-02,2.323307119645072472e-02,1.064528038392131143e-01
6.500000000000000000e+00,1.879661220998823934e-02,2.340713035601895559e-02,1.078861824065458080e-01
6.600000000000000533e+00,1.848414935221574795e-02,2.355550430654207092e-02,1.093195259267854685e-01
6.700000000000000178e+00,1.794033592915163580e-02,2.369179572896592048e-02,1.106992773116266260e-01
6.800000000000000711e+00,1.717048702352703612e-02,2.383074902385577329e-02,1.119700391571527426e-01
6.900000000000000355e+00,1.619286339918796919e-02,2.398633566454699481e-02,1.130795088992381514e-01
7.000000000000000000e+00,1.503886303234539153e-02,2.416986069405644214e-02,1.139843542810562715e-01
7.100000000000000533e+00,1.375457369224916508e-02,2.438837804934297984e-02,1.146558550456356906e-01
7.200000000000000178e+00,1.240439493889138912e-02,2.464368697658965435e-02,1.150837298503469969e-01
7.300000000000000711e+00,1.107747723100446433e-02,2.493209272900165363e-02,1.152768100871611051e-01
7.400000000000000355e+00,9.896172701327088372e-03,2.524497065075389721e-02,1.152601032200440273e-01
7.500000000000000000e+00,9.018694741076358976e-03,2.557001831070121120e-02,1.150690292000703940e-01
